ano,mes,data,regiao,uf,modalidade_credito,valor_credito,taxa_juros,inadimplencia_percentual,quantidade_clientes,renda_media,prazo_medio_pagamento,risco_credito,setor_economico
2015,1,2015-01-01,Norte,AM,Cartão,368439.48,86.05,7.79,6914,5409.92,207.1,Alto,Agropecuária
2015,1,2015-01-01,Norte,PA,Veículos,7647797.57,44.55,11.8,40006,2502.37,222.5,Alto,Indústria
2015,1,2015-01-01,Norte,PA,Veículos,7803121.64,34.9,19.04,24491,2744.4,228.2,Médio,Serviços
2015,1,2015-01-01,Norte,RO,Cartão,8105006.53,53.84,10.3,10358,5883.55,11.7,Alto,Comércio
2015,1,2015-01-01,Norte,TO,Imobiliário,9063252.09,40.53,11.94,47201,3135.36,142.8,Alto,Comércio
2015,1,2015-01-01,Nordeste,BA,Imobiliário,8176754.76,72.51,7.46,35098,3894.18,189.9,Médio,Serviços
2015,1,2015-01-01,Nordeste,BA,Empresarial,1575130.97,53.9,11.43,39351,5119.26,124.7,Médio,Comércio
2015,1,2015-01-01,Nordeste,PE,Imobiliário,2604945.06,62.88,7.42,45795,2986.12,228.5,Baixo,Comércio
2015,1,2015-01-01,Nordeste,PE,Crédito pessoal,8370793.32,26.8,19.92,37844,3642.44,113.2,Médio,Comércio
2015,1,2015-01-01,Nordeste,CE,Veículos,3065556.5,89.09,12.58,40727,3594.99,238.5,Alto,Serviços
2015,1,2015-01-01,Nordeste,CE,Veículos,5938209.48,55.19,1.27,33133,4638.86,222.4,Médio,Agropecuária
2015,1,2015-01-01,Nordeste,MA,Imobiliário,2828878.11,8.25,7.85,26546,3600.01,117.0,Médio,Indústria
2015,1,2015-01-01,Nordeste,PB,Empresarial,7766746.79,67.67,5.75,38063,5669.08,188.7,Alto,Indústria
2015,1,2015-01-01,Centro-Oeste,DF,Veículos,3366685.4,45.75,12.01,20702,5205.88,22.6,Alto,Comércio
2015,1,2015-01-01,Centro-Oeste,GO,Crédito pessoal,8446047.05,16.64,7.76,19209,2113.74,30.4,Alto,Indústria
2015,1,2015-01-01,Centro-Oeste,GO,Cartão,2358579.85,38.27,4.74,45497,2284.79,93.0,Baixo,Comércio
2015,1,2015-01-01,Centro-Oeste,MT,Crédito pessoal,3601547.08,67.92,9.93,2524,2977.31,72.4,Baixo,Comércio
2015,1,2015-01-01,Centro-Oeste,MS,Empresarial,8711908.53,23.45,1.98,27729,4429.41,194.6,Médio,Comércio
2015,1,2015-01-01,Sudeste,SP,Empresarial,3959390.53,28.53,9.9,21478,5828.86,207.2,Baixo,Serviços
2015,1,2015-01-01,Sudeste,SP,Crédito pessoal,6605593.61,74.47,6.04,47865,2261.62,51.6,Alto,Serviços
2015,1,2015-01-01,Sudeste,SP,Cartão,922993.59,57.16,17.02,2518,4538.76,70.0,Médio,Comércio
2015,1,2015-01-01,Sudeste,RJ,Veículos,8151241.37,87.85,15.68,3354,4402.47,191.8,Alto,Agropecuária
2015,1,2015-01-01,Sudeste,RJ,Imobiliário,8893782.49,57.27,4.3,26943,3951.63,233.3,Médio,Serviços
2015,1,2015-01-01,Sudeste,RJ,Empresarial,5185731.39,59.2,12.13,1105,3680.25,222.4,Alto,Serviços
2015,1,2015-01-01,Sudeste,RJ,Cartão,943086.9,46.11,9.37,28738,3858.5,144.5,Alto,Agropecuária
2015,1,2015-01-01,Sudeste,MG,Empresarial,1262302.86,46.21,14.87,10727,5427.13,122.7,Médio,Serviços
2015,1,2015-01-01,Sudeste,MG,Cartão,7526837.43,42.2,10.21,14122,3715.59,130.3,Baixo,Serviços
2015,1,2015-01-01,Sudeste,MG,Empresarial,9352948.2,87.73,4.58,33720,3408.56,142.6,Médio,Agropecuária
2015,1,2015-01-01,Sudeste,ES,Veículos,7584647.05,57.12,17.79,40458,5823.3,29.1,Baixo,Serviços
2015,1,2015-01-01,Sudeste,ES,Veículos,5739912.05,18.88,2.93,2269,3717.46,108.7,Baixo,Serviços
2015,1,2015-01-01,Sudeste,ES,Imobiliário,7136082.67,43.34,9.31,12634,4873.81,120.6,Médio,Comércio
2015,1,2015-01-01,Sul,PR,Empresarial,706751.45,37.14,7.09,28624,3580.08,9.4,Alto,Comércio
2015,1,2015-01-01,Sul,PR,Empresarial,9628482.8,50.97,5.8,38151,2732.04,20.1,Baixo,Comércio
2015,1,2015-01-01,Sul,SC,Crédito pessoal,8269711.36,16.07,2.81,22144,4590.16,166.2,Médio,Serviços
2015,1,2015-01-01,Sul,SC,Veículos,2801442.26,43.34,6.75,31328,5864.34,87.0,Médio,Comércio
2015,1,2015-01-01,Sul,RS,Cartão,8921517.53,34.77,14.7,23915,3820.63,88.2,Alto,Indústria
2015,1,2015-01-01,Sul,RS,Imobiliário,7486449.29,79.91,15.82,1742,2879.44,211.6,Alto,Comércio
2015,2,2015-02-01,Norte,AM,Cartão,2465830.31,45.0,12.05,49173,4808.69,225.0,Alto,Comércio
2015,2,2015-02-01,Norte,PA,Imobiliário,4821195.39,52.03,18.15,12803,4466.07,192.1,Baixo,Serviços
2015,2,2015-02-01,Norte,PA,Imobiliário,941048.01,8.55,3.08,22341,2897.76,225.3,Alto,Agropecuária
2015,2,2015-02-01,Norte,RO,Crédito pessoal,7727022.65,32.48,1.68,1620,1589.53,52.6,Baixo,Comércio
2015,2,2015-02-01,Norte,TO,Cartão,1412790.29,76.35,15.13,20238,1811.46,55.9,Baixo,Comércio
2015,2,2015-02-01,Nordeste,BA,Empresarial,9872763.29,20.57,18.23,18148,4350.55,173.8,Médio,Indústria
2015,2,2015-02-01,Nordeste,BA,Imobiliário,3807191.61,54.19,2.21,15655,4591.36,101.6,Alto,Indústria
2015,2,2015-02-01,Nordeste,PE,Cartão,380330.36,79.24,11.14,39443,4784.71,162.9,Médio,Serviços
2015,2,2015-02-01,Nordeste,PE,Empresarial,8690246.25,62.88,12.16,6562,5475.44,29.2,Baixo,Serviços
2015,2,2015-02-01,Nordeste,CE,Cartão,4672202.91,25.1,16.81,34629,3596.97,228.3,Alto,Agropecuária
2015,2,2015-02-01,Nordeste,CE,Empresarial,2447775.35,54.54,15.24,5419,4169.81,236.6,Alto,Serviços
2015,2,2015-02-01,Nordeste,MA,Crédito pessoal,1835286.21,32.01,11.29,25183,5612.98,163.6,Baixo,Serviços
2015,2,2015-02-01,Nordeste,PB,Empresarial,1117039.62,53.03,4.72,16974,4247.98,104.7,Baixo,Serviços
2015,2,2015-02-01,Centro-Oeste,DF,Empresarial,5353189.94,66.93,8.99,47469,2064.82,204.7,Médio,Agropecuária
2015,2,2015-02-01,Centro-Oeste,GO,Crédito pessoal,662805.52,52.88,17.43,21857,2985.08,60.2,Alto,Agropecuária
2015,2,2015-02-01,Centro-Oeste,GO,Empresarial,2746835.82,89.39,9.63,33332,4256.52,36.0,Alto,Comércio
2015,2,2015-02-01,Centro-Oeste,MT,Imobiliário,404562.52,42.69,8.51,45973,4233.47,237.2,Alto,Agropecuária
2015,2,2015-02-01,Centro-Oeste,MS,Empresarial,2227832.63,15.86,14.07,40793,5063.87,138.1,Alto,Indústria
2015,2,2015-02-01,Sudeste,SP,Crédito pessoal,509352.4,26.13,8.81,3206,2229.99,206.1,Baixo,Indústria
2015,2,2015-02-01,Sudeste,SP,Imobiliário,3475451.78,31.33,12.49,24951,1559.47,146.2,Baixo,Agropecuária
